RecNum	DateTime	ColdRamp07132017
1831	07/13/17 14:37:02.0	10.651
1832	07/13/17 14:38:02.0	10.651
1833	07/13/17 14:39:02.0	10.455
1834	07/13/17 14:40:02.0	10.357
1835	07/13/17 14:41:02.0	10.259
1836	07/13/17 14:42:02.0	10.259
1837	07/13/17 14:43:02.0	10.161
1838	07/13/17 14:44:02.0	10.063
1839	07/13/17 14:45:02.0	9.965
1840	07/13/17 14:46:02.0	9.866
1841	07/13/17 14:47:02.0	9.768
1842	07/13/17 14:48:02.0	9.669
1843	07/13/17 14:49:02.0	9.571
1844	07/13/17 14:50:02.0	9.472
1845	07/13/17 14:51:02.0	9.373
1846	07/13/17 14:52:02.0	9.373
1847	07/13/17 14:53:02.0	9.176
1848	07/13/17 14:54:02.0	9.176
1849	07/13/17 14:55:02.0	9.077
1850	07/13/17 14:56:02.0	8.978
1851	07/13/17 14:57:02.0	8.879
1852	07/13/17 14:58:02.0	8.779
1853	07/13/17 14:59:02.0	8.680
1854	07/13/17 15:00:02.0	8.581
1855	07/13/17 15:01:02.0	8.481
1856	07/13/17 15:02:02.0	8.481
1857	07/13/17 15:03:02.0	8.382
1858	07/13/17 15:04:02.0	8.282
1859	07/13/17 15:05:02.0	8.182
1860	07/13/17 15:06:02.0	8.082
1861	07/13/17 15:07:02.0	8.082
1862	07/13/17 15:08:02.0	7.983
1863	07/13/17 15:09:02.0	7.983
1864	07/13/17 15:10:02.0	7.882
1865	07/13/17 15:11:02.0	7.882
1866	07/13/17 15:12:02.0	7.782
1867	07/13/17 15:13:02.0	7.782
1868	07/13/17 15:14:02.0	7.682
1869	07/13/17 15:15:02.0	7.682
1870	07/13/17 15:16:02.0	7.682
1871	07/13/17 15:17:02.0	7.582
1872	07/13/17 15:18:02.0	7.582
1873	07/13/17 15:19:02.0	7.481
1874	07/13/17 15:20:02.0	7.481
1875	07/13/17 15:21:02.0	7.481
1876	07/13/17 15:22:02.0	7.381
1877	07/13/17 15:23:02.0	7.381
1878	07/13/17 15:24:02.0	7.381
1879	07/13/17 15:25:02.0	7.280
1880	07/13/17 15:26:02.0	7.280
1881	07/13/17 15:27:02.0	7.280
1882	07/13/17 15:28:02.0	7.280
1883	07/13/17 15:29:02.0	7.280
1884	07/13/17 15:30:02.0	7.381
1885	07/13/17 15:31:02.0	7.481
1886	07/13/17 15:32:02.0	7.481
1887	07/13/17 15:33:02.0	7.481
1888	07/13/17 15:34:02.0	7.481
1889	07/13/17 15:35:02.0	7.582
1890	07/13/17 15:36:02.0	7.582
1891	07/13/17 15:37:02.0	7.582
1892	07/13/17 15:38:02.0	7.582
1893	07/13/17 15:39:02.0	7.582
1894	07/13/17 15:40:02.0	7.582
1895	07/13/17 15:41:02.0	7.682
1896	07/13/17 15:42:02.0	7.682
1897	07/13/17 15:43:02.0	7.682
1898	07/13/17 15:44:02.0	7.682
1899	07/13/17 15:45:02.0	7.682
1900	07/13/17 15:46:02.0	7.682
1901	07/13/17 15:47:02.0	7.682
1902	07/13/17 15:48:02.0	7.782
1903	07/13/17 15:49:02.0	7.782
1904	07/13/17 15:50:02.0	7.782
1905	07/13/17 15:51:02.0	7.782
1906	07/13/17 15:52:02.0	7.782
1907	07/13/17 15:53:02.0	7.782
1908	07/13/17 15:54:02.0	7.682
1909	07/13/17 15:55:02.0	7.782
1910	07/13/17 15:56:02.0	7.782
1911	07/13/17 15:57:02.0	7.882
1912	07/13/17 15:58:02.0	7.782
1913	07/13/17 15:59:02.0	7.782
1914	07/13/17 16:00:02.0	7.682
1915	07/13/17 16:01:02.0	7.682
1916	07/13/17 16:02:02.0	7.782
1917	07/13/17 16:03:02.0	7.782
1918	07/13/17 16:04:02.0	7.782
1919	07/13/17 16:05:02.0	7.782
1920	07/13/17 16:06:02.0	7.782
1921	07/13/17 16:07:02.0	7.782
1922	07/13/17 16:08:02.0	7.882
1923	07/13/17 16:09:02.0	7.882
1924	07/13/17 16:10:02.0	7.983
1925	07/13/17 16:11:02.0	8.082
1926	07/13/17 16:12:02.0	8.082
1927	07/13/17 16:13:02.0	7.983
1928	07/13/17 16:14:02.0	7.983
1929	07/13/17 16:15:02.0	7.983
1930	07/13/17 16:16:02.0	7.882
1931	07/13/17 16:17:02.0	7.882
1932	07/13/17 16:18:02.0	7.882
1933	07/13/17 16:19:02.0	7.882
1934	07/13/17 16:20:02.0	7.882
1935	07/13/17 16:21:02.0	7.882
1936	07/13/17 16:22:02.0	7.882
1937	07/13/17 16:23:02.0	7.882
1938	07/13/17 16:24:02.0	7.882
1939	07/13/17 16:25:02.0	7.882
1940	07/13/17 16:26:02.0	7.983
1941	07/13/17 16:27:02.0	7.983
1942	07/13/17 16:28:02.0	7.983
