"","Date_skel","colorstate","Chamber.Channel_skel","Genotype_skel","Temp_skel","Origin_skel","colorstate.1","Color_skel","Rdark_umol.cm2.hr_skel","abs_R_skel"
"214","20170721","VA_white",10,"TWH","29","VA","VA_white","white",-0.49392906,0.49392906
"215","20170721","VA_white",10,"TWH","32","VA","VA_white","white",-0.356608537,0.356608537
"217","20170719","VA_white",6,"TWI","22","VA","VA_white","white",-0.710957225,0.710957225
"218","20170719","VA_white",6,"TWI","26","VA","VA_white","white",-0.965783789,0.965783789
"219","20170719","VA_white",6,"TWI","29","VA","VA_white","white",-0.601952815,0.601952815
"220","20170719","VA_white",6,"TWI","32","VA","VA_white","white",-0.492895602,0.492895602
"222","20170718","VA_white",8,"TWJ","22","VA","VA_white","white",-0.160092427,0.160092427
"223","20170718","VA_white",8,"TWJ","26","VA","VA_white","white",-0.363333579,0.363333579
"224","20170718","VA_white",8,"TWJ","29","VA","VA_white","white",-0.477181843,0.477181843
"225","20170718","VA_white",8,"TWJ","32","VA","VA_white","white",-0.362515796,0.362515796
"227","20170718","VA_white",4,"TWK","22","VA","VA_white","white",-0.25036782,0.25036782
"228","20170718","VA_white",4,"TWK","26","VA","VA_white","white",-0.315610632,0.315610632
"229","20170718","VA_white",4,"TWK","29","VA","VA_white","white",-0.427825206,0.427825206
"230","20170718","VA_white",4,"TWK","32","VA","VA_white","white",-0.347425155,0.347425155
"232","20170721","VA_white",7,"TWL","22","VA","VA_white","white",-0.314256024,0.314256024
"233","20170721","VA_white",7,"TWL","26","VA","VA_white","white",-0.475037235,0.475037235
"234","20170721","VA_white",7,"TWL","29","VA","VA_white","white",-0.428499396,0.428499396
"235","20170721","VA_white",7,"TWL","32","VA","VA_white","white",-0.41116875,0.41116875
"237","20170719","VA_white",4,"TWM","22","VA","VA_white","white",-0.302122971,0.302122971
"238","20170719","VA_white",4,"TWM","26","VA","VA_white","white",-0.470246448,0.470246448
"239","20170719","VA_white",4,"TWM","29","VA","VA_white","white",-0.374056045,0.374056045
"240","20170719","VA_white",4,"TWM","32","VA","VA_white","white",-0.420982868,0.420982868
"242","20170719","RI_brown",9,"WBC","22","RI","RI_brown","brown",-0.115222032,0.115222032
"243","20170719","RI_brown",9,"WBC","26","RI","RI_brown","brown",-0.352240849,0.352240849
"244","20170719","RI_brown",9,"WBC","29","RI","RI_brown","brown",-0.357676785,0.357676785
"245","20170719","RI_brown",9,"WBC","32","RI","RI_brown","brown",-0.40359766,0.40359766
"247","20170717","RI_brown",4,"WBF","22","RI","RI_brown","brown",0.041315022,0.041315022
"248","20170717","RI_brown",4,"WBF","26","RI","RI_brown","brown",-0.148164755,0.148164755
"249","20170717","RI_brown",4,"WBF","29","RI","RI_brown","brown",-0.176396933,0.176396933
"250","20170717","RI_brown",4,"WBF","32","RI","RI_brown","brown",-0.297704794,0.297704794
"252","20170717","RI_brown",3,"WBG","22","RI","RI_brown","brown",-0.010268039,0.010268039
"253","20170717","RI_brown",3,"WBG","26","RI","RI_brown","brown",-0.620610272,0.620610272
"254","20170717","RI_brown",3,"WBG","29","RI","RI_brown","brown",-1.144547973,1.144547973
"255","20170717","RI_brown",3,"WBG","32","RI","RI_brown","brown",-1.109282564,1.109282564
"257","20170718","RI_brown",5,"WBI","22","RI","RI_brown","brown",0.028845117,0.028845117
"258","20170718","RI_brown",5,"WBI","26","RI","RI_brown","brown",-0.218572424,0.218572424
"259","20170718","RI_brown",5,"WBI","29","RI","RI_brown","brown",-0.586483215,0.586483215
"260","20170718","RI_brown",5,"WBI","32","RI","RI_brown","brown",-0.392295866,0.392295866
"262","20170718","RI_brown",7,"WBK","22","RI","RI_brown","brown",-0.271842415,0.271842415
"263","20170718","RI_brown",7,"WBK","26","RI","RI_brown","brown",-0.386345515,0.386345515
"264","20170718","RI_brown",7,"WBK","29","RI","RI_brown","brown",-0.568994556,0.568994556
"265","20170718","RI_brown",7,"WBK","32","RI","RI_brown","brown",-0.451596323,0.451596323
"267","20170721","RI_brown",4,"WBN","22","RI","RI_brown","brown",-0.22919261,0.22919261
"268","20170721","RI_brown",4,"WBN","26","RI","RI_brown","brown",-0.60129124,0.60129124
"269","20170721","RI_brown",4,"WBN","29","RI","RI_brown","brown",-0.619040506,0.619040506
"270","20170721","RI_brown",4,"WBN","32","RI","RI_brown","brown",-0.099531593,0.099531593
"272","20170719","RI_brown",5,"WBO","22","RI","RI_brown","brown",-0.358505677,0.358505677
"273","20170719","RI_brown",5,"WBO","26","RI","RI_brown","brown",-0.498216595,0.498216595
"274","20170719","RI_brown",5,"WBO","29","RI","RI_brown","brown",-0.588406821,0.588406821
"275","20170719","RI_brown",5,"WBO","32","RI","RI_brown","brown",-0.64548572,0.64548572
"277","20170721","RI_brown",8,"WBB","22","RI","RI_brown","brown",-0.344171365,0.344171365
"278","20170721","RI_brown",8,"WBB","26","RI","RI_brown","brown",-0.51996725,0.51996725
"279","20170721","RI_brown",8,"WBB","29","RI","RI_brown","brown",-0.604437367,0.604437367
"280","20170721","RI_brown",8,"WBB","32","RI","RI_brown","brown",-0.492277507,0.492277507
"282","20170721","RI_white",5,"WWB","22","RI","RI_white","white",-0.158916785,0.158916785
"283","20170721","RI_white",5,"WWB","26","RI","RI_white","white",-0.3697259,0.3697259
"284","20170721","RI_white",5,"WWB","29","RI","RI_white","white",-0.383253972,0.383253972
"285","20170721","RI_white",5,"WWB","32","RI","RI_white","white",-0.368856674,0.368856674
"287","20170717","RI_white",8,"WWC","22","RI","RI_white","white",-0.178613255,0.178613255
"288","20170717","RI_white",8,"WWC","26","RI","RI_white","white",-0.26290927,0.26290927
"289","20170717","RI_white",8,"WWC","29","RI","RI_white","white",-0.571991566,0.571991566
"290","20170717","RI_white",8,"WWC","32","RI","RI_white","white",-0.403689629,0.403689629
"292","20170718","RI_white",10,"WWD","22","RI","RI_white","white",-0.180208646,0.180208646
"293","20170718","RI_white",10,"WWD","26","RI","RI_white","white",-0.291432716,0.291432716
"294","20170718","RI_white",10,"WWD","29","RI","RI_white","white",-0.530685648,0.530685648
"295","20170718","RI_white",10,"WWD","32","RI","RI_white","white",-0.44488149,0.44488149
"297","20170719","RI_white",8,"WWE","22","RI","RI_white","white",-0.25908087,0.25908087
"298","20170719","RI_white",8,"WWE","26","RI","RI_white","white",-0.691110235,0.691110235
"299","20170719","RI_white",8,"WWE","29","RI","RI_white","white",-0.416150194,0.416150194
"300","20170719","RI_white",8,"WWE","32","RI","RI_white","white",-0.566791373,0.566791373
"302","20170721","RI_white",3,"WWF","22","RI","RI_white","white",-0.444792847,0.444792847
"303","20170721","RI_white",3,"WWF","26","RI","RI_white","white",-1.076576878,1.076576878
"304","20170721","RI_white",3,"WWF","29","RI","RI_white","white",-1.081474889,1.081474889
"305","20170721","RI_white",3,"WWF","32","RI","RI_white","white",-0.306061392,0.306061392
"307","20170717","RI_white",7,"WWI","22","RI","RI_white","white",-0.334891562,0.334891562
"308","20170717","RI_white",7,"WWI","26","RI","RI_white","white",-0.516982847,0.516982847
"309","20170717","RI_white",7,"WWI","29","RI","RI_white","white",-0.676381853,0.676381853
"310","20170717","RI_white",7,"WWI","32","RI","RI_white","white",-0.616571763,0.616571763
"312","20170718","RI_white",9,"WWJ","22","RI","RI_white","white",-0.424627617,0.424627617
"313","20170718","RI_white",9,"WWJ","26","RI","RI_white","white",-0.387501039,0.387501039
"314","20170718","RI_white",9,"WWJ","29","RI","RI_white","white",-0.56744905,0.56744905
"315","20170718","RI_white",9,"WWJ","32","RI","RI_white","white",-0.38082855,0.38082855
"317","20170719","RI_white",7,"WWK","22","RI","RI_white","white",-0.676395671,0.676395671
"318","20170719","RI_white",7,"WWK","26","RI","RI_white","white",-0.740484772,0.740484772
"319","20170719","RI_white",7,"WWK","29","RI","RI_white","white",-0.318566853,0.318566853
"320","20170719","RI_white",7,"WWK","32","RI","RI_white","white",-0.455727235,0.455727235
